"Share","Path","ABE","NFS"
"admin_dept","/Pool-1/Pharm-Storage/admin_dept","True","True"
"admin_sp","/Pool-1/Pharm-Storage/admin_sp","True","True"
"Aj-Adisak","/Pool-1/NAS-Storage/Aj-Adisak","True","True"
"Aj-Uraiwan","/Pool-1/NAS-Storage/Aj-Uraiwan","True","False"
"CCADR","/Pool-1/NAS-Storage/CCADR","True","False"
"CIK","/Pool-1/NAS-Storage/CIK","True","False"
"Columbus-folder","/Pool-1/Columbus-Storage/Columbus-folder","True","False"
"CRCproject","/Pool-1/Bioinfo-Storage/CRCproject","True","True"
"filing","/Pool-1/Pharm-Storage/filing","True","True"
"hr","/Pool-1/Pharm-Storage/hr","True","True"
"it_others","/Pool-1/Pharm-Storage/it_others","True","True"
"Migration","/Pool-1/NAS-Storage/Migration","True","False"
"MMproject","/Pool-1/Columbus-Storage/MMproject","True","False"
"MutationProfile","/Pool-1/Biobank-Storage/MutationProfile","True","True"
"Neoantigen","/Pool-1/NAS-Storage/Neoantigen","True","False"
"nikon","/Pool-1/Columbus-Storage/nikon","True","False"
"Orientia","/Pool-1/NAS-Storage/Orientia","True","False"
"PELproject","/Pool-1/NAS-Storage/PELproject","True","False"
"postgraduate","/Pool-1/Pharm-Storage/postgraduate","True","True"
"purchasing","/Pool-1/Pharm-Storage/purchasing","True","True"
"Rarecyte-folder","/Pool-1/Rarecyte-Storage/Rarecyte-folder","True","True"
"research","/Pool-1/Pharm-Storage/research","True","True"
"sisplockers","/Pool-1/Columbus-Storage/sisplockers","True","True"
"undergraduate","/Pool-1/Pharm-Storage/undergraduate","True","True"
